,Unnamed: 0,Word,Count
1909,1909,alat,346
3,3,mahasiswa,345
877,877,angap,345
989,989,distancing,343
720,720,bangsa,343
1230,1230,menghimbau,342
3203,3203,bank,341
128,128,alas,341
2468,2468,sambang,339
1050,1050,ramai,337
1124,1124,hukum,336
384,384,susah,336
469,469,bingung,336
814,814,sobat,336
134,134,ribu,336
11871,11871,tatanan,333
1293,1293,komisi,332
347,347,paham,331
419,419,salat,331
832,832,selatan,328
292,292,gagal,327
335,335,didik,325
2210,2210,tindak,325
1216,1216,bukti,325
351,351,kemarin,324
764,764,catat,324
1242,1242,beli,322
63,63,suruh,322
1007,1007,sedia,321
1201,1201,h,320
1838,1838,bangun,319
1408,1408,utama,318
103,103,sumber,315
20,20,kuat,314
1493,1493,ajak,314
358,358,hari,314
765,765,senin,314
381,381,kampung,314
745,745,online,314
1406,1406,pangan,314
643,643,panjang,313
1354,1354,hai,312
1134,1134,tahap,311
909,909,semangat,310
848,848,kritik,308
111,111,waspada,308
763,763,gratis,308
1176,1176,tangerang,307
1631,1631,pantau,306
1851,1851,juli,306
1696,1696,sulit,303
393,393,agama,303
819,819,sayang,302
622,622,pandemik,302
4023,4023,mingu,300
153,153,luas,300
954,954,pimpin,298
1023,1023,zona,296
1011,1011,selasa,296
672,672,12,295
669,669,tentu,294
1758,1758,beban,294
1664,1664,politik,294
54,54,news,291
733,733,mohon,290
1002,1002,a,290
2043,2043,main,290
951,951,maf,288
1298,1298,diam,288
664,664,gelar,286
3160,3160,cuci,286
1704,1704,langar,285
383,383,coronavirus,285
2994,2994,jumat,283
493,493,dengar,279
965,965,tungu,278
422,422,paksa,278
1015,1015,guna,277
1062,1062,keras,277
263,263,manfat,277
812,812,15,277
99,99,kamis,276
667,667,izin,275
833,833,bal,274
831,831,skala,274
13907,13907,newnormal,272
394,394,apresiasi,272
305,305,jadi,271
436,436,beda,271
1491,1491,video,270
506,506,utara,270
25915,25915,hip,269
500,500,solusi,268
1196,1196,krisis,268
2077,2077,tangap,267
918,918,risiko,266
976,976,stimulus,266
648,648,rabu,264
320,320,bodoh,263
936,936,papua,263
1870,1870,habis,260
209,209,21,260
1801,1801,kordinasi,260
893,893,sipil,260
104,104,dinas,259
346,346,pas,259
1188,1188,simak,259
317,317,the,259
1106,1106,apa,259
2133,2133,majelis,258
2082,2082,sikap,257
927,927,peran,257
1512,1512,bangkit,255
618,618,duit,255
484,484,awat,255
460,460,uji,255
1010,1010,deh,255
488,488,damping,254
1710,1710,skenario,252
903,903,lembaga,252
1048,1048,isu,251
249,249,masal,250
1589,1589,14,249
214,214,rang,249
1437,1437,industri,248
1460,1460,rawan,248
518,518,bnpb,248
184,184,miskin,246
1953,1953,idul,245
695,695,asing,245
1116,1116,kerumun,245
1745,1745,30,244
2003,2003,aiptu,244
1703,1703,nomor,244
1360,1360,mudah,243
3863,3863,produktif,243
979,979,masjid,242
1395,1395,papar,242
723,723,at,241
2629,2629,ketat,241
2272,2272,fasilitas,241
16463,16463,polsekwanayasa,240
842,842,gerak,238
15,15,imunity,237
1275,1275,ringan,237
41,41,paket,236
14,14,herd,236
2407,2407,ada,236
376,376,karantina,235
1320,1320,gelombang,235
3295,3295,putar,234
1825,1825,swab,233
1954,1954,fitri,232
850,850,strategi,232
3009,3009,aku,231
811,811,konfirmasi,231
1697,1697,suka,230
800,800,kurva,230
152,152,konspirasi,230
638,638,bersih,228
1984,1984,personil,227
690,690,darurat,226
1410,1410,bidang,226
208,208,p,225
1619,1619,komando,225
1800,1800,rapat,225
112,112,panik,224
628,628,dorong,224
235,235,lurah,224
258,258,daya,223
1189,1189,pesan,223
2385,2385,ih,222
1126,1126,alokasi,222
137,137,tolak,221
1621,1621,militer,220
1058,1058,mas,220
427,427,lonjak,220
2107,2107,eh,219
688,688,nama,218
485,485,rujuk,218
215,215,who,218
681,681,jam,216
993,993,merah,216
3265,3265,viruscorona,215
846,846,sebab,215
1556,1556,kabar,215
4410,4410,18,214
775,775,bawa,212
1077,1077,bahan,212
1352,1352,50,212
947,947,prioritas,211
5655,5655,tingi,210
2181,2181,rawat,210
1037,1037,no,209
1033,1033,13,209
1,1,lampung,209
1234,1234,pergi,209
2415,2415,produksi,209
3467,3467,9,207
2544,2544,buruh,207
1110,1110,joko,207
94,94,kasihan,207
1150,1150,infeksi,207
2801,2801,ulama,207
271,271,8,206
1183,1183,pacar,206
888,888,hadir,205
1278,1278,babinsa,204
483,483,pdp,204
2283,2283,sistem,204
544,544,kelola,203
3573,3573,biasa,203
2084,2084,halo,203
8125,8125,sabtu,202
589,589,transportasi,202
1548,1548,lupa,202
1485,1485,muncul,201
1154,1154,stay,201
728,728,lapang,201
462,462,sisi,199
2521,2521,23,199
241,241,lingkung,199
16464,16464,polrespurwakarta,199
1468,1468,penting,198
1466,1466,maksimal,198
246,246,efektif,197
1111,1111,widodo,197
192,192,contoh,197
1129,1129,repost,196
698,698,nekat,196
1551,1551,duduk,196
237,237,aipda,196
1671,1671,from,196
707,707,era,195
949,949,jabat,195
995,995,pulang,195
2373,2373,pariwisata,194
1659,1659,disease,194
2949,2949,saudi,194
569,569,target,193
2002,2002,subsidi,193
1057,1057,sejahtera,192
1403,1403,sasar,192
1030,1030,operasi,192
371,371,maret,192
1121,1121,06,192
890,890,serta,191
3290,3290,bisnis,191
1225,1225,air,191
4635,4635,29,190
1552,1552,kakak,190
49,49,bupati,190
977,977,edukasi,189
5659,5659,iur,188
1233,1233,nyawa,188
2290,2290,wujud,187
904,904,swasta,187
711,711,bencana,187
1573,1573,adil,186
439,439,banding,186
1455,1455,unit,186
998,998,hak,186
1385,1385,c,185
185,185,jepang,185
1846,1846,ingat,185
1072,1072,demo,184
5579,5579,adaptasi,183
1076,1076,sinergi,183
4011,4011,sumatra,183
323,323,konsisten,183
1633,1633,jual,183
556,556,apd,183
250,250,wkwk,183
1448,1448,alih,181
1324,1324,depan,181
11255,11255,stopmudikcegahcovid19,181
585,585,malang,180
961,961,alami,180
2557,2557,instansi,179
101,101,05,179
1690,1690,wisata,178
1684,1684,abai,178
1994,1994,timbang,178
2760,2760,ancam,177
1490,1490,edar,177
1809,1809,relaksasi,177
1795,1795,korupsi,177
1702,1702,wali,175
348,348,doa,175
2245,2245,pt,175
599,599,kaji,175
1444,1444,himpun,174
486,486,tanda,174
1018,1018,t,174
968,968,global,174
891,891,jajar,174
2965,2965,serang,173
1943,1943,batal,173
2646,2646,islam,173
3515,3515,klaim,173
526,526,status,172
892,892,aparatur,172
2144,2144,e,172
374,374,gera,172
1212,1212,isolasi,172
1860,1860,hoaks,172
2282,2282,saran,172
3549,3549,karyawan,170
2184,2184,odp,170
858,858,janji,170
617,617,ujung,170
1849,1849,buruk,170
1083,1083,pasti,169
2799,2799,aparat,169
1182,1182,aktif,168
1389,1389,derita,168
1268,1268,bagus,168
4188,4188,pola,167
1913,1913,humas,167
2948,2948,arab,166
2211,2211,lanjut,166
940,940,gaji,166
2145,2145,otak,166
1443,1443,syarat,165
1221,1221,himbau,164
1650,1650,banyak,164
420,420,jemah,163
2306,2306,desak,163
3789,3789,bahu,162
404,404,alah,162
2620,2620,parah,162
276,276,distribusi,162
841,841,mandiri,162
2007,2007,saudara,162
1853,1853,terbit,161
1075,1075,kompas,161
885,885,tahun,161
275,275,diri,161
261,261,sahabat,161
6894,6894,pesantren,160
2189,2189,isi,160
1663,1663,komunikasi,160
1156,1156,physical,160
1763,1763,fakta,160
680,680,24,160
602,602,aneh,160
2779,2779,komitmen,159
79,79,alam,159
4965,4965,28,159
601,601,pasca,159
2421,2421,nakes,159
1791,1791,minyak,158
1607,1607,tempeh,158
2406,2406,proses,158
1155,1155,home,157
2520,2520,27,157
3226,3226,hijau,156
2333,2333,silaturahmi,156
1463,1463,besar,155
1356,1356,tanah,154
1772,1772,lambat,154
2117,2117,sibuk,154
671,671,kes,154
252,252,pulau,153
1325,1325,cek,153
95,95,sedih,153
1085,1085,tani,153
1094,1094,potensi,152
1175,1175,pandemic,151
408,408,amin,151
1550,1550,bandung,151
1340,1340,kartu,151
1296,1296,erti,150
2197,2197,libat,150
7241,7241,berangkat,149
133,133,untung,149
336,336,usia,148
14738,14738,dirumahajalebihbaik,148
2714,2714,pagi,148
3473,3473,gilir,147
513,513,lepas,147
2253,2253,pemberitahuan,147
2512,2512,organisasi,147
2208,2208,sunguh,147
3007,3007,benar,147
2509,2509,timbul,147
2264,2264,sok,146
3858,3858,jabar,146
941,941,pegawai,146
2047,2047,2019,146
165,165,tua,146
2618,2618,persen,146
551,551,divisihumaspolri,146
7532,7532,baju,145
1095,1095,negatif,144
3209,3209,maju,144
566,566,sulawesi,144
18,18,berantas,144
2302,2302,kunjung,144
306,306,mbak,143
2134,2134,musyawarat,143
2200,2200,ruang,143
1721,1721,16,143
925,925,tumbuh,143
413,413,tokoh,142
2485,2485,rasa,142
7713,7713,spesimen,142
5443,5443,pancasila,141
3223,3223,mesti,141
1440,1440,instruksi,140
731,731,cipta,140
1794,1794,id,140
521,521,of,140
396,396,umat,140
1027,1027,jaring,138
1987,1987,bambang,138
983,983,tempat,138
750,750,indonesiamelawancovid19,138
1709,1709,jelas,138
3541,3541,bandara,138
3191,3191,gotong,137
3122,3122,cape,136
3192,3192,royong,136
490,490,fase,136
685,685,prediksi,136
511,511,posko,135
1790,1790,bakar,135
1107,1107,buat,134
652,652,jenderal,134
2230,2230,alhamdulilah,134
1529,1529,cair,134
1700,1700,lawancovid19,133
15196,15196,patuhiprotokolcovid19,133
451,451,khawatir,133
2539,2539,landa,133
1510,1510,utang,133
5694,5694,141,133
4982,4982,pos,133
2528,2528,doang,133
2918,2918,kalimantan,132
1088,1088,sila,132
2420,2420,reposted,132
363,363,ahli,131
1977,1977,katolik,131
783,783,tahu,131
3058,3058,suara,131
274,274,beras,131
19985,19985,bhabikamtibmas,131
98,98,kini,131
1899,1899,demokrasi,131
194,194,sukses,130
1756,1756,60,130
325,325,jujur,130
1723,1723,aksi,130
51,51,tuntut,129
135,135,daftar,129
203,203,25,129
3576,3576,evaluasi,129
533,533,deteksi,129
3992,3992,jiwa,129
284,284,grafik,129
538,538,bersatulawancovid19,129
373,373,rukun,129
2125,2125,gabung,129
4265,4265,buru,127
2351,2351,to,127
826,826,kemenkesri,127
2236,2236,bandel,127
1241,1241,skema,127
5291,5291,teriak,127
3474,3474,terang,127
3772,3772,survei,126
953,953,kecewa,126
2692,2692,bekas,126
3070,3070,demokrat,126
1586,1586,prosedur,126
2267,2267,turut,126
1808,1808,wacana,125
1814,1814,tenang,125
1651,1651,masalah,125
3618,3618,mending,125
1304,1304,jember,124
1803,1803,beri,124
378,378,akses,124
3072,3072,bayang,124
1316,1316,menang,124
1698,1698,tegas,123
3350,3350,bogor,123
3333,3333,an,123
1823,1823,keluh,123
364,364,berat,122
997,997,april,122
3219,3219,rendah,122
309,309,pengaruh,122
752,752,dirumahsaja,121
2984,2984,62,121
1469,1469,teliti,121
1391,1391,eyel,121
1261,1261,bro,121
1620,1620,rayon,121
1484,1484,inovasi,120
2985,2985,stop,120
963,963,perang,120
155,155,akal,120
92,92,ratus,119
1952,1952,jelang,119
1575,1575,tunjang,119
2284,2284,tanguh,119
1323,1323,garda,119
641,641,lapar,119
2156,2156,sebut,119
2929,2929,budaya,119
473,473,stayathome,119
959,959,masif,119
5693,5693,pasuk,118
710,710,k,118
2599,2599,kunci,118
2019,2019,ah,118
375,375,istilah,117
1519,1519,kemensosri,117
1069,1069,kirim,117
1877,1877,makasar,117
789,789,imbas,117
3462,3462,kapasitas,116
2431,2431,personel,116
2698,2698,hitung,116
782,782,dengerinelshintadirumahaja,116
1400,1400,tumpang,116
2584,2584,dialogis,115
1716,1716,virtual,115
78,78,non,115
2190,2190,batu,115
1199,1199,elemen,114
2020,2020,heran,114
2574,2574,libur,113
3272,3272,goblok,113
4869,4869,mobil,113
1461,1461,sumbang,112
704,704,berani,112
519,519,as,112
136,136,rugi,112
572,572,17,111
2927,2927,mc,111
2742,2742,muka,111
322,322,kesal,111
1537,1537,marah,111
6893,6893,pondok,111
4556,4556,jamah,111
39,39,ramadan,110
2471,2471,jangkit,110
2813,2813,sabar,110
1318,1318,lokal,109
2095,2095,pers,109
788,788,rentan,109
1885,1885,kelompok,109
662,662,26,109
2115,2115,kam,108
3751,3751,awal,108
2576,2576,bersamalawancorona,108
581,581,malu,108
1644,1644,luncur,108
1367,1367,kelas,108
4347,4347,pandu,108
83,83,bang,108
845,845,laju,108
3123,3123,usul,107
2277,2277,fraksi,107
10534,10534,indonesiaterserah,107
862,862,kecuali,107
334,334,guru,107
4193,4193,sambut,107
1078,1078,pokok,106
864,864,kak,106
4767,4767,tiada,106
3201,3201,and,106
2581,2581,bubar,106
2390,2390,sengaja,106
2730,2730,diskusi,105
1394,1394,pusing,105
433,433,maksud,105
1886,1886,realisasi,105
108,108,grafis,105
1672,1672,pertamina,104
1262,1262,live,104
703,703,pakar,104
3608,3608,gantung,104
1423,1423,idulfitri,104
2489,2489,tagar,104
1041,1041,universitas,104
554,554,ingris,104
448,448,anies,104
1250,1250,pribadi,104
7365,7365,lomba,103
23,23,lemah,103
2686,2686,efek,103
1429,1429,ilmu,103
1960,1960,pasang,103
3415,3415,tulis,102
3155,3155,korona,102
352,352,tonton,102
1113,1113,puncak,101
922,922,angur,101
1629,1629,agus,101
1365,1365,kalah,101
696,696,bela,101
454,454,bst,101
3554,3554,2021,101
536,536,aplikasi,101
1226,1226,terbang,101
1222,1222,unjung,101
5754,5754,konser,101
119,119,sri,101
3625,3625,optimis,100
633,633,day,100
3117,3117,becus,100
2338,2338,haha,100
287,287,komunis,100
1470,1470,sepenuh,100
4847,4847,jatuh,99
1520,1520,kemenbumn,99
1742,1742,polripromoter,99
3559,3559,perilaku,99
367,367,aspek,99
3594,3594,proyek,99
1526,1526,miliar,99
2737,2737,demi,99
2792,2792,kacau,98
57,57,rilis,98
1999,1999,gencar,98
1766,1766,depok,98
1282,1282,b,98
327,327,reda,98
1343,1343,sore,98
3087,3087,transparan,97
1687,1687,singapura,97
6636,6636,cerita,97
1770,1770,guys,97
2229,2229,syukur,97
1574,1574,nasib,97
207,207,cabut,96
878,878,remeh,96
2104,2104,pandang,96
1922,1922,kredit,96
356,356,landai,96
3613,3613,madiun,96
5,5,donasi,96
1186,1186,mau,96
3905,3905,anti,96
1177,1177,website,96
1487,1487,riset,96
514,514,pro,95
1151,1151,gejala,95
3252,3252,pintar,95
4960,4960,semprot,95
30267,30267,fokuscovidruhipditunda,95
1338,1338,kuasa,94
3723,3723,tubuh,94
290,290,enak,94
1798,1798,klaten,94
3229,3229,ku,94
1714,1714,jenazah,93
2743,2743,bumi,93
5329,5329,pol,93
1118,1118,narasi,93
1115,1115,jagajarak,93
2794,2794,distrik,93
2366,2366,koar,92
5322,5322,sh,92
1576,1576,potong,92
3330,3330,duga,92
2148,2148,lokasi,92
821,821,peta,92
1198,1198,kontribusi,92
5685,5685,protes,92
5017,5017,lahan,92
3253,3253,serba,92
1319,1319,tantang,91
1614,1614,lintas,91
724,724,law,91
3763,3763,45,91
990,990,bangli,91
4712,4712,nyinyir,91
361,361,bunuh,91
2671,2671,boleh,91
2227,2227,salam,90
1587,1587,korea,90
1751,1751,juliaribatubara,90
3382,3382,riau,90
3630,3630,03,90
52,52,sama,90
1658,1658,istirahat,90
2447,2447,olah,90
1906,1906,roda,89
2849,2849,bareng,89
391,391,tagih,89
555,555,40,89
590,590,toko,89
2353,2353,in,89
3460,3460,senang,88
1832,1832,kemenkeuri,88
1061,1061,televisi,88
2834,2834,modal,88
199,199,sepele,88
360,360,hormat,88
3271,3271,inti,88
1301,1301,ulang,88
1128,1128,alias,87
5235,5235,tiongkok,87
319,319,titik,87
774,774,acara,87
3833,3833,anjing,87
1341,1341,prakerja,87
3025,3025,datang,86
2361,2361,kampanye,86
4223,4223,direktur,86
594,594,regulasi,86
2578,2578,bawang,86
1594,1594,ekspor,86
3163,3163,kawan,85
120,120,mulyani,85
6368,6368,mahfud,85
1082,1082,tema,85
3421,3421,wfh,85
787,787,rutin,85
4445,4445,semarang,85
3322,3322,internasional,84
1073,1073,sanksi,84
687,687,beliau,84
4686,4686,bosan,84
561,561,standar,84
2099,2099,calon,84
2101,2101,tata,84
21497,21497,tundabalikejakarta,84
1919,1919,jenis,84
3454,3454,nusa,84
4930,4930,gelontor,84
857,857,puas,84
4105,4105,aju,84
9811,9811,67,83
935,935,sepakat,83
810,810,yogyakarta,83
2587,2587,puluh,83
3488,3488,besok,83
1091,1091,makam,83
8694,8694,kenal,83
1314,1314,strategis,83
1757,1757,produk,83
1458,1458,kendara,83
4409,4409,khofifah,83
792,792,angkat,83
2346,2346,jasa,83
2194,2194,siang,83
2959,2959,divhumas,82
6119,6119,langan,82
2360,2360,kalang,82
4244,4244,desember,82
2993,2993,kuliah,82
559,559,bulan,82
297,297,cinta,82
2001,2001,tarif,82
3709,3709,tuntas,82
4208,4208,by,82
2758,2758,tundamudikjogjasehat,82
4003,4003,oi,82
1821,1821,plan,82
1616,1616,komisaris,82
828,828,rt,81
362,362,sempat,81
2717,2717,stabilitas,81
2790,2790,opini,81
2438,2438,amerika,81
2663,2663,teknologi,81
2064,2064,31,81
2759,2759,dirumahajadulu,81
962,962,kebal,81
1632,1632,kawasan,81
2615,2615,for,81
950,950,agenda,80
2500,2500,zaifulbokhari,80
5455,5455,va,80
1438,1438,mahal,80
17537,17537,opsketupatcegahcovid19,80
906,906,fungsi,80
1220,1220,samapta,80
2505,2505,merdeka,80
19808,19808,sungaiselan,80
4761,4761,04,80
756,756,hambat,80
1071,1071,wajar,80
2186,2186,laboratorium,79
5266,5266,klaster,79
1434,1434,susun,79
3570,3570,indah,79
313,313,niat,79
2129,2129,staf,79
2838,2838,gangu,79
1615,1615,ajun,79
567,567,tengara,79
2065,2065,iring,79
1371,1371,kadang,78
6285,6285,situ,78
1163,1163,tetanga,78
2408,2408,barang,78
2042,2042,asa,78
3518,3518,lelah,78
10973,10973,bla,78
2661,2661,situs,78
1361,1361,70,78
6785,6785,lucu,77
282,282,oke,77
1393,1393,gila,77
1287,1287,implementasi,77
437,437,malaysia,77
2751,2751,mantap,77
1975,1975,lancar,77
19877,19877,disiplinpolahidupbaru,76
3759,3759,egois,76
6054,6054,kesiap,76
1271,1271,tradisional,76
1584,1584,sentuh,76
265,265,hebat,76
3446,3446,impor,76
1535,1535,kadrun,76
2641,2641,keren,75
4022,4022,mulu,75
456,456,nul,75
2819,2819,d,75
1459,1459,operasional,75
2261,2261,sidoarjo,75
494,494,al,75
16,16,mampu,75
987,987,jambi,75
974,974,pasal,75
2299,2299,hem,75
1884,1884,kolaborasi,74
106,106,magetan,74
2562,2562,01,74
837,837,beres,74
100,100,07,74
3071,3071,kontrol,74
2060,2060,bu,74
2322,2322,kemenkes,74
1516,1516,sonora,74
2757,2757,semuapedulicovid19,74
1567,1567,posisi,74
2222,2222,lahir,74
2198,2198,pedoman,73
4395,4395,muda,73
637,637,teori,73
1379,1379,min,73
2816,2816,pemuda,73
2429,2429,link,73
1854,1854,optimal,73
467,467,kah,73
2809,2809,jepara,73
3289,3289,tiga,72
1237,1237,respons,72
4856,4856,nang,72
4690,4690,warung,72
