,Word,Count
393,agama,303
394,apresiasi,272
395,vihara,6
396,umat,140
397,budha,7
398,selengara,507
399,waisak,11
400,sederhana,46
401,mengutakaman,1
402,protokol,2396
403,lindung,439
404,alah,162
405,subhanahu,21
406,wa,65
407,tala,18
408,amin,151
409,ayoberpuasa,4
410,resor,400
411,dongala,3
412,undang,1838
413,tokoh,142
414,imam,22
415,mesjid,43
416,bahas,557
417,sosialisasi,415
418,maklumat,470
419,salat,331
420,jemah,163
421,nakhel,1
422,paksa,278
423,mal,359
424,dubai,1
425,ekang,7
426,logika,50
427,lonjak,220
428,akibat,1059
429,mk,54
430,sgat,2
431,kurun,10
432,mei,880
433,maksud,105
434,thread,49
435,kasih,675
436,beda,271
437,malaysia,77
438,milik,704
439,banding,186
440,corect,25
441,me,69
442,if,28
443,anw,2
444,dimanemuncul,1
445,hehe,42
446,luhut,57
447,anulir,4
448,anies,104
449,jusuf,19
450,kala,27
451,khawatir,133
452,yayuk,1
453,terima,1082
454,bst,101
455,verifikasi,31
456,nul,75
457,antara,3
458,juru,1055
459,bicara,1320
460,uji,255
461,nasional,1266
462,sisi,199
463,baru,1062
464,tambah,1404
465,kbijakan,12
466,anomali,1
467,kah,73
468,au,6
469,bingung,336
470,normal,3351
471,infotoljors,3
472,biar,670
473,stayathome,119
474,tetapgunakanmasker,2
475,sonorafm92,5
476,radioelshinta,8
477,saif,1
478,muchlisun,1
479,49,20
480,almarhum,8
481,sup,2
482,awas,415
483,pdp,204
484,awat,255
485,rujuk,218
486,tanda,174
487,mou,17
488,damping,254
489,blitar,32
490,fase,136
491,muak,24
492,baca,397
493,dengar,279
494,al,75
495,about,15
496,fcking,1
497,carut,23
498,marut,24
499,sinkron,32
500,solusi,268
501,baik,806
502,fokus,849
503,planing,3
504,best,9
505,lore,1
506,utara,270
507,banjir,12
508,bandang,2
509,kait,1535
510,kumpul,347
511,posko,135
512,ungsi,6
513,lepas,147
514,pro,95
515,kontra,58
516,kubu,35
517,initialy,1
518,bnpb,248
